91.136.33.93,170.117.*.*,Block
183.227.*.*,207.251.178.41,Block
*.*.*.*,199.49.81.59,Allow
75.124.84.3,20.203.94.225,Block
89.195.51.193,62.196.82.151,Block
120.235.240.*,88.25.68.87,Allow
196.151.125.55,61.197.112.200,Block
1.8.254.227,179.183.108.203,Block
3.149.35.236,159.177.50.60,Block
240.157.74.72,115.43.211.19,Allow
193.122.129.176,205.108.247.22,Block
96.170.178.114,49.192.205.15,Block
192.250.249.247,126.92.224.108,Block
57.138.129.125,162.117.174.113,Block
233.98.132.171,164.163.176.10,Block
144.198.88.231,160.38.*.*,Block
146.161.252.14,187.254.208.143,Block
151.255.206.94,94.246.134.79,Block
218.215.252.201,50.58.123.49,Allow
47.219.209.29,49.26.76.9,Block
252.108.187.57,232.182.*.*,Block
85.75.187.115/20,55.184.43.107,Block
72.238.183.*,175.62.17.167,Allow
42.118.183.11,13.24.52.31,Block
220.194.221.*,173.233.86.88/16,Allow
38.62.135.59,76.220.117.225,Block
255.232.200.174/12,198.8.35.131,Block
199.*.*.*,130.252.144.*,Block
141.146.114.8,209.162.45.*,Block
148.200.160.220,84.125.3.110,Block
144.77.176.234,93.50.31.45,Block
186.70.143.*,95.74.253.140,Block
252.221.80.245,201.55.10.97,Block
232.201.250.252,52.4.130.46,Block
113.198.102.203,16.75.124.52,Block
208.186.186.152,131.3.*.*,Block
88.1.241.150,57.231.236.17,Block
155.67.242.196,127.138.4.200,Block
200.33.*.*,104.191.4.220,Allow
32.102.*.*,33.101.172.17,Allow
220.145.233.79,81.95.56.226,Block
203.135.67.201,173.17.185.62,Allow
92.133.190.79,57.20.72.114,Block
151.165.241.122,142.119.249.102,Block
25.66.109.191,171.4.199.140,Allow
143.*.*.*,152.72.238.96,Block
10.104.165.33,170.32.168.95,Block
113.17.146.27,235.244.251.222,Allow
115.29.224.167,114.139.52.192,Block
102.131.68.9,53.247.174.90,Block
220.221.83.95,67.*.*.*,Block
135.80.144.249,65.217.178.247,Block
150.198.5.111,19.253.184.68,Block
84.79.193.131,227.16.167.94,Block
29.215.119.*,31.149.89.108,Allow
81.95.197.153,71.163.248.236,Block
144.130.135.208,161.234.120.173,Block
198.64.149.235,155.92.208.188,Allow
41.232.122.243,202.130.17.21,Block
171.202.172.78,148.163.3.159,Block
55.97.225.127,24.251.215.159,Block
33.74.27.122,19.142.10.113,Block
66.8.118.7,227.240.228.158,Block
120.149.178.37,224.213.1.57,Allow
28.229.131.140,131.53.*.*,Block
19.21.96.65,63.95.103.145,Block
187.132.110.44,243.161.102.82,Block
175.41.164.164,254.243.68.101,Block
42.248.155.*,110.236.92.172,Block
125.64.221.201,104.14.214.98,Block
11.213.217.41,72.39.209.253,Block
199.10.66.29,82.164.149.70,Block
56.57.188.177,29.219.255.42,Block
246.21.211.*,3.162.157.121,Block
*.*.*.*,63.229.209.224/4,Block
195.18.53.233,13.70.128.196,Block
96.248.56.*,216.243.181.*,Allow
109.226.161.233,242.101.219.6,Allow
220.35.93.150,111.195.25.197,Block
246.237.21.254,47.167.162.195,Block
34.187.116.234,143.223.204.*,Block
148.156.71.75,121.100.189.115,Block
245.159.88.*,*.*.*.*,Block
192.164.239.103,42.236.192.121,Block
21.23.245.2,83.200.203.199,Block
121.130.228.195,36.142.147.10,Block
255.126.102.9,113.227.164.176,Block
139.190.*.*,75.103.48.9,Block
104.254.124.144,74.40.38.*,Block
16.179.163.115,76.234.59.195,Block
11.229.34.202,104.*.*.*,Allow
102.170.196.5,255.*.*.*,Block
155.219.*.*,225.187.127.250,Block
6.49.119.253,196.170.220.218,Block
79.50.45.70,*.*.*.*,Block
74.14.230.187,110.127.215.143,Allow
89.*.*.*,142.45.231.48,Block
254.197.237.22,87.223.1.31,Block
17.162.195.129,249.221.10.*,Block
116.49.225.60,231.125.111.*,Block
